マーケット,取引種別,価格,数量,取引手数料,ボーナス円,日時,コメント
btc_jpy,売り,131425.00000000,0.01000000,0E-8,0.1,2017-04-14 19:18:03.802057,
btc_jpy,売り,131425.00000000,0.01000000,0E-8,0.1,2017-04-14 19:16:41.427602,
